t,left,right,diff,valid
11.985,411.0,22.0,389.0,1
12.005,322.0,20.0,302.0,1
12.025,329.0,20.0,309.0,1
12.045,330.0,19.0,311.0,1
12.066,395.0,20.0,375.0,1
12.086,379.0,20.0,359.0,1
12.106,367.0,20.0,347.0,1
12.126,331.0,174.0,157.0,1
12.146,332.0,20.0,312.0,1
12.166,543.0,20.0,523.0,1
12.186,362.0,20.0,342.0,1
12.206,930.0,20.0,910.0,1
12.226,395.0,20.0,375.0,1
12.247,233.0,20.0,213.0,1
12.267,339.0,20.0,319.0,1
12.287,166.0,20.0,146.0,1
12.307,329.0,20.0,309.0,1
12.327,395.0,21.0,374.0,1
12.347,837.0,19.0,818.0,1
12.367,350.0,21.0,329.0,1
12.387,346.0,29.0,317.0,1
12.407,347.0,31.0,316.0,1
12.428,298.0,20.0,278.0,1
12.448,411.0,20.0,391.0,1
12.468,475.0,20.0,455.0,1
12.488,411.0,20.0,391.0,1
12.508,348.0,288.0,60.0,1
12.528,331.0,20.0,311.0,1
12.548,345.0,20.0,325.0,1
12.568,607.0,20.0,587.0,1
12.588,476.0,20.0,456.0,1
12.608,363.0,20.0,343.0,1
12.629,353.0,20.0,333.0,1
12.649,248.0,20.0,228.0,1
12.669,361.0,20.0,341.0,1
12.689,427.0,20.0,407.0,1
12.709,806.0,33.0,773.0,1
12.729,428.0,26.0,402.0,1
12.749,624.0,29.0,595.0,1
12.769,362.0,20.0,342.0,1
12.789,233.0,190.0,43.0,1
12.81,411.0,21.0,390.0,1
12.83,686.0,21.0,665.0,1
12.85,410.0,19.0,391.0,1
12.87,346.0,20.0,326.0,1
12.89,371.0,20.0,351.0,1
12.91,346.0,20.0,326.0,1
12.93,362.0,20.0,342.0,1
12.95,411.0,20.0,391.0,1
12.97,428.0,44.0,384.0,1
12.99,363.0,20.0,343.0,1
13.011,346.0,19.0,327.0,1
13.031,330.0,19.0,311.0,1
13.051,428.0,24.0,404.0,1
13.071,769.0,33.0,736.0,1
13.091,426.0,20.0,406.0,1
13.111,475.0,19.0,456.0,1
13.131,363.0,20.0,343.0,1
13.151,262.0,20.0,242.0,1
13.171,362.0,20.0,342.0,1
13.192,639.0,20.0,619.0,1
13.212,868.0,20.0,848.0,1
13.232,362.0,20.0,342.0,1
13.252,607.0,21.0,586.0,1
13.272,314.0,19.0,295.0,1
13.292,362.0,21.0,341.0,1
13.312,428.0,20.0,408.0,1
13.332,510.0,160.0,350.0,1
13.352,426.0,20.0,406.0,1
13.372,672.0,22.0,650.0,1
13.393,364.0,21.0,343.0,1
13.413,380.0,26.0,354.0,1
13.433,444.0,20.0,424.0,1
13.453,427.0,20.0,407.0,1
13.473,381.0,21.0,360.0,1
13.493,379.0,20.0,359.0,1
13.513,352.0,21.0,331.0,1
13.533,380.0,20.0,360.0,1
13.553,313.0,20.0,293.0,1
13.574,769.0,20.0,749.0,1
13.594,444.0,20.0,424.0,1
13.614,601.0,137.0,464.0,1
13.634,362.0,20.0,342.0,1
13.654,285.0,20.0,265.0,1
13.674,413.0,20.0,393.0,1
13.694,626.0,23.0,603.0,1
13.714,441.0,34.0,407.0,1
13.734,825.0,29.0,796.0,1
13.754,578.0,20.0,558.0,1
13.775,349.0,19.0,330.0,1
13.795,380.0,20.0,360.0,1
13.815,364.0,20.0,344.0,1
13.835,461.0,20.0,441.0,1
13.855,430.0,20.0,410.0,1
13.875,613.0,20.0,593.0,1
13.895,379.0,20.0,359.0,1
13.915,380.0,20.0,360.0,1
13.935,445.0,20.0,425.0,1
13.955,445.0,20.0,425.0,1
13.975,499.0,20.0,479.0,1
13.995,379.0,56.0,323.0,1
14.016,348.0,20.0,328.0,1
14.036,380.0,20.0,360.0,1
14.056,396.0,21.0,375.0,1
14.076,445.0,20.0,425.0,1
14.096,807.0,20.0,787.0,1
14.116,658.0,20.0,638.0,1
14.136,348.0,21.0,327.0,1
14.156,379.0,20.0,359.0,1
14.176,299.0,20.0,279.0,1
14.196,577.0,174.0,403.0,1
14.216,445.0,21.0,424.0,1
14.237,790.0,20.0,770.0,1
14.257,379.0,21.0,358.0,1
14.277,381.0,20.0,361.0,1
14.297,461.0,20.0,441.0,1
14.317,379.0,20.0,359.0,1
14.337,444.0,19.0,425.0,1
14.357,396.0,30.0,366.0,1
14.377,496.0,20.0,476.0,1
14.397,396.0,20.0,376.0,1
14.418,428.0,20.0,408.0,1
14.438,452.0,21.0,431.0,1
14.458,445.0,21.0,424.0,1
14.478,478.0,20.0,458.0,1
14.498,381.0,20.0,361.0,1
14.518,379.0,20.0,359.0,1
14.538,348.0,19.0,329.0,1
14.558,412.0,20.0,392.0,1
14.578,444.0,20.0,424.0,1
14.599,777.0,20.0,757.0,1
14.619,379.0,19.0,360.0,1
14.639,365.0,21.0,344.0,1
14.659,509.0,20.0,489.0,1
14.679,363.0,21.0,342.0,1
14.699,453.0,22.0,431.0,1
14.719,365.0,32.0,333.0,1
14.739,753.0,20.0,733.0,1
14.759,380.0,20.0,360.0,1
14.78,592.0,20.0,572.0,1
14.8,453.0,20.0,433.0,1
14.82,429.0,20.0,409.0,1
14.84,380.0,20.0,360.0,1
14.86,365.0,19.0,346.0,1
14.88,396.0,20.0,376.0,1
14.9,444.0,19.0,425.0,1
14.92,428.0,19.0,409.0,1
14.94,445.0,20.0,425.0,1
14.96,417.0,137.0,280.0,1
14.981,379.0,20.0,359.0,1
15.001,380.0,20.0,360.0,1
15.021,446.0,21.0,425.0,1
15.041,428.0,20.0,408.0,1
15.061,444.0,20.0,424.0,1
15.081,380.0,20.0,360.0,1
15.101,705.0,20.0,685.0,1
15.121,406.0,32.0,374.0,1
15.141,775.0,20.0,755.0,1
15.162,461.0,20.0,441.0,1
15.182,380.0,87.0,293.0,1
15.202,381.0,20.0,361.0,1
15.222,308.0,20.0,288.0,1
15.242,397.0,20.0,377.0,1
15.262,465.0,21.0,444.0,1
15.282,610.0,20.0,590.0,1
15.302,444.0,21.0,423.0,1
15.322,405.0,20.0,385.0,1
15.343,395.0,189.0,206.0,1
15.363,397.0,20.0,377.0,1
