t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,vision_has_good,vision_has_bad,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,shovel_state,shovel_active,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
1.116,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,762.0,1020.0,1085.0,995.0,359.0,1102.0
1.136,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,764.0,1024.0,1087.0,997.0,245.0,1025.0
1.156,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,763.0,1020.0,1086.0,995.0,242.0,1025.0
1.176,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,763.0,1021.0,1086.0,995.0,390.0,1024.0
1.196,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,765.0,1024.0,1085.0,995.0,226.0,1021.0
1.217,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,762.0,1020.0,1084.0,993.0,360.0,1026.0
1.237,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,762.0,1020.0,1084.0,993.0,360.0,1026.0
1.257,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,763.0,1020.0,1084.0,993.0,784.0,1024.0
1.277,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1016.0,1082.0,991.0,229.0,1024.0
1.298,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1015.0,1080.0,989.0,376.0,1026.0
1.318,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,754.0,1009.0,1074.0,984.0,376.0,1026.0
1.338,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,756.0,1012.0,1076.0,986.0,228.0,1024.0
1.358,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,754.0,1009.0,1073.0,984.0,95.0,1024.0
