t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
1.651,566.0,719.0,347.0,1041.0,-0.2803,-0.1656,-0.3064,-0.2025,1,0,1,0,0,0,0,0,1,331.0,22.0,331.0,309.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.671,561.0,722.0,349.0,1045.0,-0.2803,-0.1656,-0.3064,-0.2046,1,0,1,0,0,0,0,0,1,249.0,20.0,249.0,229.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.691,542.0,739.0,352.0,1043.0,-0.2857,-0.1656,-0.3036,-0.2088,1,0,1,0,0,0,0,0,1,331.0,21.0,331.0,310.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.711,541.0,752.0,354.0,1037.0,-0.3374,-0.1285,-0.2953,-0.2088,1,0,1,0,0,0,0,0,1,397.0,21.0,397.0,376.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.731,547.0,756.0,356.0,1030.0,-0.3374,-0.1002,-0.2897,-0.2213,1,0,1,0,0,0,0,0,1,641.0,21.0,641.0,620.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.752,551.0,748.0,362.0,1026.0,-0.3238,-0.1002,-0.2841,-0.2359,1,0,1,0,0,0,0,0,1,300.0,22.0,300.0,278.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.772,547.0,747.0,364.0,1010.0,-0.3238,-0.1089,-0.2674,-0.2443,1,0,1,0,0,0,0,0,1,69.0,22.0,69.0,47.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.792,542.0,744.0,360.0,1024.0,-0.3238,-0.1111,-0.2674,-0.2484,1,0,1,0,0,0,0,0,1,267.0,20.0,267.0,247.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.812,537.0,748.0,359.0,1017.0,-0.3374,-0.1111,-0.273,-0.263,1,0,1,0,0,0,0,0,1,462.0,35.0,462.0,427.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.832,536.0,761.0,356.0,1016.0,-0.351,-0.1089,-0.2758,-0.263,1,0,1,0,0,0,0,0,1,729.0,32.0,729.0,697.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.852,530.0,753.0,353.0,1005.0,-0.3537,-0.098,-0.2841,-0.2651,1,0,1,0,0,0,0,0,1,298.0,21.0,298.0,277.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.872,533.0,745.0,352.0,1024.0,-0.3619,-0.098,-0.2925,-0.2651,1,0,1,0,0,0,0,0,1,396.0,21.0,396.0,375.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.892,533.0,745.0,352.0,1024.0,-0.3619,-0.1155,-0.2953,-0.2484,1,0,1,0,0,0,0,0,1,396.0,21.0,396.0,375.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.912,533.0,749.0,350.0,1026.0,-0.3619,-0.1155,-0.2953,-0.2484,1,0,1,0,0,0,0,0,1,134.0,21.0,134.0,113.0,REVERSE,ADC 矫正完成，倒车,-400,-400,1
1.933,525.0,730.0,354.0,994.0,-0.3619,-0.1155,-0.2953,-0.2484,1,0,0,0,0,0,0,0,1,85.0,21.0,85.0,64.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
1.953,519.0,714.0,350.0,976.0,-0.3837,-0.1481,-0.3008,-0.3111,1,0,0,0,0,0,0,0,1,217.0,21.0,217.0,196.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
1.973,518.0,742.0,352.0,1000.0,-0.4,-0.1481,-0.2953,-0.3111,1,0,0,0,0,0,0,0,1,394.0,21.0,394.0,373.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
1.993,516.0,750.0,355.0,1015.0,-0.4027,-0.122,-0.2953,-0.2985,1,0,0,0,0,0,0,0,1,330.0,20.0,330.0,310.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.013,524.0,733.0,355.0,1016.0,-0.4027,-0.122,-0.2869,-0.2672,1,0,0,0,0,0,0,0,1,183.0,22.0,183.0,161.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.033,534.0,737.0,360.0,1004.0,-0.3864,-0.1329,-0.2869,-0.2672,1,0,0,0,0,0,0,0,1,183.0,20.0,183.0,163.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.053,538.0,745.0,359.0,1010.0,-0.3592,-0.1329,-0.2758,-0.2777,1,0,0,0,0,0,0,0,1,299.0,32.0,299.0,267.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.074,541.0,740.0,356.0,1014.0,-0.3483,-0.1264,-0.2758,-0.2777,1,0,0,0,0,0,0,0,1,233.0,25.0,233.0,208.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.094,542.0,724.0,353.0,1009.0,-0.3401,-0.1264,-0.2841,-0.2777,1,0,0,0,0,0,0,0,1,216.0,22.0,216.0,194.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.114,540.0,728.0,356.0,1013.0,-0.3401,-0.1525,-0.2841,-0.2714,1,0,0,0,0,0,0,0,1,150.0,20.0,150.0,130.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.134,540.0,725.0,356.0,1016.0,-0.3429,-0.159,-0.2841,-0.2714,1,0,0,0,0,0,0,0,1,16.0,19.0,19.0,-3.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.154,540.0,728.0,356.0,1014.0,-0.3429,-0.1525,-0.2841,-0.2693,1,0,0,0,0,0,0,0,1,184.0,21.0,184.0,163.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.174,541.0,728.0,357.0,1017.0,-0.3429,-0.1525,-0.2841,-0.2651,1,0,0,0,0,0,0,0,1,362.0,21.0,362.0,341.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.194,541.0,728.0,357.0,1018.0,-0.3401,-0.1525,-0.2813,-0.263,1,0,0,0,0,0,0,0,1,608.0,20.0,608.0,588.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.214,541.0,728.0,357.0,1018.0,-0.3401,-0.1525,-0.2813,-0.261,1,0,0,0,0,0,0,0,1,233.0,20.0,233.0,213.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.235,541.0,729.0,357.0,1019.0,-0.3401,-0.1525,-0.2813,-0.261,1,0,0,0,0,0,0,0,1,353.0,21.0,353.0,332.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.255,541.0,729.0,357.0,1019.0,-0.3401,-0.1503,-0.2813,-0.2589,1,0,0,0,0,0,0,0,1,353.0,21.0,353.0,332.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.275,540.0,728.0,356.0,1018.0,-0.3401,-0.1503,-0.2813,-0.2589,1,0,0,0,0,0,0,0,1,184.0,20.0,184.0,164.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.295,541.0,729.0,356.0,1020.0,-0.3401,-0.1503,-0.2841,-0.2589,1,0,0,0,0,0,0,0,1,16.0,21.0,21.0,-5.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.315,540.0,727.0,356.0,1018.0,-0.3429,-0.1525,-0.2841,-0.261,1,0,0,0,0,0,0,0,1,217.0,21.0,217.0,196.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.336,541.0,728.0,355.0,1019.0,-0.3401,-0.1525,-0.2841,-0.2589,1,0,0,0,0,0,0,0,1,297.0,21.0,297.0,276.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
2.356,540.0,727.0,356.0,1018.0,-0.3429,-0.1547,-0.2841,-0.261,1,0,0,0,0,0,0,0,1,689.0,20.0,689.0,669.0,SAFE_STOP,倒车完成（前头红外无值）,0,0,1
