t,left,right,diff,valid
6.637,41.0,20.0,21.0,1
6.658,48.0,21.0,27.0,1
6.678,84.0,20.0,64.0,1
6.698,17.0,19.0,-2.0,1
6.718,17.0,20.0,-3.0,1
6.738,19.0,20.0,-1.0,1
6.758,17.0,20.0,-3.0,1
6.778,149.0,20.0,129.0,1
6.798,52.0,29.0,23.0,1
6.818,182.0,21.0,161.0,1
6.839,40.0,20.0,20.0,1
6.859,17.0,20.0,-3.0,1
6.879,32.0,20.0,12.0,1
6.899,16.0,19.0,-3.0,1
6.919,41.0,21.0,20.0,1
6.939,33.0,20.0,13.0,1
6.959,41.0,20.0,21.0,1
6.979,16.0,20.0,-4.0,1
6.999,41.0,20.0,21.0,1
7.019,22.0,20.0,2.0,1
7.04,150.0,21.0,129.0,1
7.06,18.0,20.0,-2.0,1
7.08,52.0,21.0,31.0,1
7.1,19.0,20.0,-1.0,1
7.12,41.0,22.0,19.0,1
7.14,52.0,21.0,31.0,1
7.16,67.0,23.0,44.0,1
7.18,16.0,21.0,-5.0,1
7.2,17.0,21.0,-4.0,1
7.221,17.0,20.0,-3.0,1
7.241,52.0,20.0,32.0,1
7.261,279.0,19.0,260.0,1
7.281,108.0,20.0,88.0,1
7.301,17.0,20.0,-3.0,1
7.321,17.0,19.0,-2.0,1
7.341,17.0,20.0,-3.0,1
7.361,41.0,20.0,21.0,1
7.381,16.0,20.0,-4.0,1
7.401,281.0,20.0,261.0,1
7.422,16.0,19.0,-3.0,1
7.442,17.0,22.0,-5.0,1
7.462,17.0,32.0,-15.0,1
7.482,17.0,26.0,-9.0,1
7.502,84.0,20.0,64.0,1
7.522,148.0,20.0,128.0,1
7.542,39.0,20.0,19.0,1
7.562,68.0,20.0,48.0,1
7.582,33.0,20.0,13.0,1
7.603,52.0,20.0,32.0,1
7.623,83.0,20.0,63.0,1
7.643,26.0,19.0,7.0,1
7.663,17.0,21.0,-4.0,1
7.683,42.0,20.0,22.0,1
7.703,107.0,20.0,87.0,1
7.723,42.0,20.0,22.0,1
7.743,16.0,20.0,-4.0,1
7.763,17.0,20.0,-3.0,1
7.783,16.0,32.0,-16.0,1
7.804,52.0,20.0,32.0,1
7.824,17.0,20.0,-3.0,1
7.844,249.0,20.0,229.0,1
7.864,16.0,20.0,-4.0,1
7.884,67.0,20.0,47.0,1
7.904,22.0,21.0,1.0,1
7.924,17.0,20.0,-3.0,1
7.944,27.0,20.0,7.0,1
7.964,51.0,21.0,30.0,1
7.985,25.0,20.0,5.0,1
8.005,19.0,20.0,-1.0,1
8.025,33.0,20.0,13.0,1
8.045,16.0,20.0,-4.0,1
8.065,43.0,20.0,23.0,1
8.085,33.0,20.0,13.0,1
8.105,17.0,29.0,-12.0,1
8.125,17.0,20.0,-3.0,1
8.145,16.0,32.0,-16.0,1
8.165,49.0,20.0,29.0,1
8.186,52.0,20.0,32.0,1
8.206,232.0,20.0,212.0,1
8.226,26.0,19.0,7.0,1
8.246,25.0,21.0,4.0,1
8.266,17.0,20.0,-3.0,1
