t,left,right,diff,valid
5.514,183.0,21.0,162.0,1
5.534,184.0,21.0,163.0,1
5.554,151.0,28.0,123.0,1
5.574,217.0,21.0,196.0,1
5.594,185.0,20.0,165.0,1
5.614,251.0,31.0,220.0,1
5.634,183.0,20.0,163.0,1
5.655,591.0,20.0,571.0,1
5.675,560.0,20.0,540.0,1
5.695,217.0,20.0,197.0,1
5.715,283.0,20.0,263.0,1
5.736,18.0,21.0,-3.0,1
5.756,17.0,20.0,-3.0,1
5.777,186.0,21.0,165.0,1
5.797,118.0,20.0,98.0,1
5.817,215.0,20.0,195.0,1
5.838,445.0,20.0,425.0,1
5.858,217.0,20.0,197.0,1
5.878,183.0,21.0,162.0,1
5.898,184.0,20.0,164.0,1
5.918,232.0,20.0,212.0,1
5.938,218.0,31.0,187.0,1
5.958,168.0,20.0,148.0,1
5.978,184.0,20.0,164.0,1
5.998,182.0,20.0,162.0,1
6.018,69.0,21.0,48.0,1
6.039,42.0,20.0,22.0,1
6.059,217.0,20.0,197.0,1
6.079,363.0,20.0,343.0,1
6.099,183.0,20.0,163.0,1
6.119,184.0,20.0,164.0,1
6.139,476.0,19.0,457.0,1
6.159,183.0,20.0,163.0,1
6.179,346.0,20.0,326.0,1
6.199,167.0,20.0,147.0,1
6.219,17.0,20.0,-3.0,1
6.239,168.0,20.0,148.0,1
6.26,167.0,32.0,135.0,1
6.28,200.0,29.0,171.0,1
6.3,168.0,20.0,148.0,1
6.32,249.0,20.0,229.0,1
6.34,182.0,20.0,162.0,1
6.36,166.0,21.0,145.0,1
6.38,217.0,21.0,196.0,1
6.4,200.0,20.0,180.0,1
6.42,176.0,20.0,156.0,1
6.44,183.0,20.0,163.0,1
6.46,183.0,21.0,162.0,1
6.48,217.0,20.0,197.0,1
6.501,118.0,26.0,92.0,1
6.521,210.0,33.0,177.0,1
6.541,560.0,20.0,540.0,1
6.561,460.0,21.0,439.0,1
6.581,183.0,20.0,163.0,1
6.601,216.0,20.0,196.0,1
6.621,84.0,20.0,64.0,1
6.641,216.0,20.0,196.0,1
6.661,168.0,21.0,147.0,1
6.681,84.0,21.0,63.0,1
6.701,166.0,19.0,147.0,1
6.721,558.0,20.0,538.0,1
6.742,444.0,20.0,424.0,1
6.762,183.0,20.0,163.0,1
6.782,183.0,20.0,163.0,1
6.802,51.0,20.0,31.0,1
6.822,183.0,21.0,162.0,1
6.842,214.0,33.0,181.0,1
6.862,264.0,20.0,244.0,1
6.882,166.0,21.0,145.0,1
6.902,166.0,20.0,146.0,1
6.923,117.0,21.0,96.0,1
6.943,200.0,21.0,179.0,1
6.963,443.0,20.0,423.0,1
6.983,200.0,20.0,180.0,1
7.003,183.0,19.0,164.0,1
7.023,183.0,20.0,163.0,1
7.043,117.0,20.0,97.0,1
7.063,200.0,20.0,180.0,1
7.083,20.0,20.0,0.0,1
7.104,184.0,20.0,164.0,1
7.124,167.0,20.0,147.0,1
7.144,499.0,20.0,479.0,1
7.164,183.0,20.0,163.0,1
7.184,234.0,20.0,214.0,1
7.204,266.0,21.0,245.0,1
7.224,68.0,20.0,48.0,1
7.244,175.0,21.0,154.0,1
7.265,18.0,26.0,-8.0,1
7.285,265.0,21.0,244.0,1
7.305,233.0,20.0,213.0,1
7.325,427.0,20.0,407.0,1
7.345,216.0,20.0,196.0,1
7.365,183.0,20.0,163.0,1
7.385,183.0,20.0,163.0,1
7.405,193.0,20.0,173.0,1
7.425,313.0,20.0,293.0,1
7.446,199.0,20.0,179.0,1
7.466,117.0,20.0,97.0,1
7.486,184.0,21.0,163.0,1
7.506,25.0,20.0,5.0,1
7.526,191.0,20.0,171.0,1
7.546,200.0,20.0,180.0,1
7.566,624.0,19.0,605.0,1
7.586,149.0,20.0,129.0,1
7.606,600.0,20.0,580.0,1
7.627,150.0,20.0,130.0,1
7.647,150.0,19.0,131.0,1
7.667,217.0,20.0,197.0,1
7.687,17.0,21.0,-4.0,1
7.707,158.0,24.0,134.0,1
7.727,184.0,20.0,164.0,1
7.747,428.0,21.0,407.0,1
7.767,233.0,20.0,213.0,1
7.787,378.0,20.0,358.0,1
7.807,150.0,23.0,127.0,1
7.828,165.0,20.0,145.0,1
7.848,166.0,21.0,145.0,1
7.868,184.0,20.0,164.0,1
7.888,232.0,20.0,212.0,1
7.908,215.0,20.0,195.0,1
7.928,102.0,20.0,82.0,1
7.948,166.0,20.0,146.0,1
7.968,21.0,20.0,1.0,1
7.988,411.0,20.0,391.0,1
8.009,216.0,19.0,197.0,1
8.029,624.0,20.0,604.0,1
8.049,149.0,21.0,128.0,1
8.069,410.0,20.0,390.0,1
8.089,199.0,20.0,179.0,1
8.109,19.0,20.0,-1.0,1
8.129,206.0,21.0,185.0,1
8.149,19.0,32.0,-13.0,1
8.169,233.0,20.0,213.0,1
8.19,184.0,21.0,163.0,1
8.21,607.0,20.0,587.0,1
8.23,241.0,21.0,220.0,1
8.25,217.0,20.0,197.0,1
8.27,168.0,20.0,148.0,1
8.29,100.0,20.0,80.0,1
8.31,183.0,21.0,162.0,1
8.33,127.0,21.0,106.0,1
8.35,201.0,20.0,181.0,1
8.37,217.0,20.0,197.0,1
8.391,101.0,21.0,80.0,1
8.411,183.0,20.0,163.0,1
8.431,183.0,20.0,163.0,1
8.451,476.0,20.0,456.0,1
8.471,200.0,21.0,179.0,1
8.491,395.0,21.0,374.0,1
8.511,167.0,21.0,146.0,1
8.531,84.0,19.0,65.0,1
8.551,184.0,33.0,151.0,1
8.572,16.0,30.0,-14.0,1
8.592,216.0,21.0,195.0,1
8.612,152.0,20.0,132.0,1
8.632,461.0,20.0,441.0,1
8.652,183.0,22.0,161.0,1
8.672,542.0,20.0,522.0,1
8.692,232.0,20.0,212.0,1
8.712,183.0,20.0,163.0,1
8.732,168.0,20.0,148.0,1
8.752,17.0,20.0,-3.0,1
8.773,182.0,20.0,162.0,1
8.793,216.0,20.0,196.0,1
8.813,330.0,19.0,311.0,1
8.833,216.0,20.0,196.0,1
8.853,168.0,20.0,148.0,1
8.873,183.0,20.0,163.0,1
8.893,184.0,20.0,164.0,1
8.913,347.0,26.0,321.0,1
8.933,215.0,21.0,194.0,1
8.954,239.0,20.0,219.0,1
8.974,184.0,20.0,164.0,1
8.994,26.0,20.0,6.0,1
9.014,183.0,29.0,154.0,1
9.034,18.0,20.0,-2.0,1
9.054,250.0,20.0,230.0,1
9.074,185.0,21.0,164.0,1
9.094,576.0,20.0,556.0,1
9.114,166.0,20.0,146.0,1
9.134,395.0,20.0,375.0,1
9.155,216.0,20.0,196.0,1
9.175,26.0,21.0,5.0,1
9.195,199.0,20.0,179.0,1
9.215,16.0,21.0,-5.0,1
9.235,460.0,21.0,439.0,1
9.255,184.0,21.0,163.0,1
9.275,299.0,21.0,278.0,1
9.295,216.0,21.0,195.0,1
9.316,216.0,20.0,196.0,1
9.336,184.0,20.0,164.0,1
9.356,184.0,20.0,164.0,1
9.377,183.0,20.0,163.0,1
9.397,249.0,20.0,229.0,1
9.417,117.0,32.0,85.0,1
9.437,169.0,33.0,136.0,1
9.458,17.0,29.0,-12.0,1
9.478,192.0,20.0,172.0,1
9.498,234.0,20.0,214.0,1
9.518,608.0,20.0,588.0,1
9.538,215.0,21.0,194.0,1
9.558,380.0,20.0,360.0,1
9.578,100.0,20.0,80.0,1
9.598,17.0,20.0,-3.0,1
9.618,233.0,20.0,213.0,1
9.639,25.0,21.0,4.0,1
9.659,200.0,20.0,180.0,1
9.679,167.0,21.0,146.0,1
9.699,560.0,20.0,540.0,1
9.719,182.0,19.0,163.0,1
9.739,258.0,20.0,238.0,1
9.759,201.0,20.0,181.0,1
9.779,151.0,20.0,131.0,1
9.799,183.0,20.0,163.0,1
9.819,184.0,21.0,163.0,1
9.84,175.0,20.0,155.0,1
9.86,217.0,31.0,186.0,1
9.88,68.0,20.0,48.0,1
9.9,166.0,28.0,138.0,1
9.92,101.0,20.0,81.0,1
9.94,575.0,20.0,555.0,1
9.96,183.0,20.0,163.0,1
9.98,443.0,20.0,423.0,1
10.0,218.0,21.0,197.0,1
10.021,216.0,21.0,195.0,1
10.041,167.0,20.0,147.0,1
10.061,16.0,20.0,-4.0,1
10.081,184.0,21.0,163.0,1
10.101,366.0,19.0,347.0,1
10.121,608.0,20.0,588.0,1
10.141,151.0,21.0,130.0,1
10.161,363.0,20.0,343.0,1
10.181,150.0,20.0,130.0,1
10.201,183.0,24.0,159.0,1
10.222,216.0,21.0,195.0,1
10.242,117.0,20.0,97.0,1
10.262,150.0,20.0,130.0,1
10.282,266.0,21.0,245.0,1
10.302,184.0,22.0,162.0,1
10.322,218.0,31.0,187.0,1
10.342,183.0,20.0,163.0,1
10.362,215.0,20.0,195.0,1
10.383,174.0,21.0,153.0,1
10.403,299.0,20.0,279.0,1
